observation_date,Vietnam,Indonesia,Malaysia,Thailand,The Philippines,Peru,Mexico,Chile,Colombia,Republic of Korea,Hong Kong SAR,Singapore,South Africa,Ethiopia,Ghana,Nigeria,Mozambique,Kenya
1983-01-01,,1139.006301232480,3518.79492112604,1645.991690946840,1878.60173410166,3325.45532400634,8098.51642174164,3975.62230556306,3228.35593102948,5227.53893142287,14174.70542490170,16186.91451384010,5015.37142372166,303.857283167870,700.396045771895,1440.01747782620,194.645654684469,1221.534858908340
1984-01-01,595.491333343053,1191.590587717640,3670.36601236602,1707.930801984100,1696.57673822151,3361.21738023781,8207.92337537128,4072.50464907353,3260.28459182748,5712.63984757483,15435.97512472180,17280.37038223030,5091.71936365917,287.621232002049,741.569874205891,1387.92176005589,178.415686382550,1198.094372420460
1985-01-01,603.977495797078,1195.123115478510,3515.25505625205,1754.627162496590,1537.66555840437,3347.82743034644,8194.16249388144,4153.37019930025,3289.71209715409,6105.74268983951,15386.65042715370,17149.31550146000,4865.05694085787,248.470605031820,762.747783660855,1428.92742820366,176.854086200431,1204.919323677360
1986-01-01,607.589997887830,1240.064756493420,3444.11713819558,1818.905046596250,1551.40892775445,3578.00091333160,7713.61215366042,4310.54362901388,3410.15965281641,6740.69941617276,16876.25280858370,17396.02813636750,4712.81869464239,264.539002422205,784.937923659407,1391.47877234542,169.787799695594,1245.988510253940
1987-01-01,616.715148033271,1276.132319958920,3508.00948571695,1957.759636744520,1576.97337027736,3837.26769850321,7716.49731737025,4528.63337696520,3520.16261987219,7535.12660432782,18945.70643593270,18986.75270036270,4664.13011613961,291.112259309145,803.929610179043,1398.24883298999,193.956902454941,1274.220879616140
1988-01-01,635.398203948006,1324.375729523780,3737.26006906652,2180.413586541820,1638.03682404026,3397.01630742059,7657.72747545790,4783.26035220905,3588.96963573165,8367.04656522944,20386.21715755540,20595.97513891870,4714.22284174624,281.374024417104,829.017387585837,1461.19132231299,210.222304910608,1306.364336835040
1989-01-01,668.323172497837,1396.699709074000,3953.81471255834,2406.269968245450,1696.00236347127,2912.66434308040,7783.80581012845,5192.61380044824,3636.07569199887,8878.29655251462,20635.54935826720,22031.89713002190,4687.29105190200,269.793522386618,849.686579158456,1449.68017647113,222.043123475899,1320.507745198970
1990-01-01,687.860316254161,1470.918222585280,4184.76072928976,2631.519710958630,1704.07568899121,2706.92253156841,8036.86114412537,5290.53694835535,3714.18499283280,9672.57845182894,21357.26195416300,23272.70009321590,4544.23023212165,267.078134508598,855.852507081810,1577.19616627741,221.048981086396,1329.333127662320
1991-01-01,713.747210806804,1544.995808945270,4456.93133148159,2810.567020013160,1656.38349704781,2709.27754515647,8197.01179494896,5606.86557277047,3713.17727535576,10618.84314391220,22388.62183095830,24132.71532906210,4396.36069450543,237.502454667904,878.635704065940,1541.59066261036,227.462736236500,1305.464157014470
1992-01-01,759.910853953724,1617.109548722180,4726.13789172987,2989.853853690190,1624.34939806129,2640.31373880219,8330.26426802488,6151.76546454326,3787.59429182160,11176.56068587100,23585.67258861130,24973.43113581120,4225.81432848500,207.967880879774,890.313174799419,1571.19022617830,206.194607588583,1255.938706223590
1993-01-01,805.606443630458,1693.107426018900,5062.59110437050,3186.997071032290,1620.35505833942,2723.28423102920,8411.79621338297,6461.73217350303,3912.65908357960,11837.46920537970,24621.65265814330,27139.95242789850,4193.59826135345,227.173295614208,910.722897752222,1498.95895037787,221.624579964898,1223.506167257620
1994-01-01,861.122422555836,1790.327299624550,5390.10167606966,3391.489866040620,1654.74613902838,2998.57693125514,8623.48043007968,6688.29717704707,4059.32146113882,12817.24478249580,25526.44305073680,29220.27279154760,4258.26184733408,226.399912642527,918.428722656692,1433.38861092290,220.478583291331,1219.784111330500
1995-01-01,927.625512005765,1905.542361112380,5771.35211956083,3614.932440167320,1693.80873081644,3158.98338644792,7970.64038496182,7201.13100361441,4189.72770913999,13924.30440003470,25620.02493320160,30379.89911445980,4337.29729686998,232.230450633845,933.895311664356,1395.07488456856,212.086249862904,1237.882504676750
1996-01-01,998.924907248853,2020.991481325090,6190.46429134886,3766.863644330880,1752.23800104559,3186.90077024092,8320.65295694833,7605.28953010603,4198.69126252708,14894.32788341040,25551.36640047590,31349.31718051310,4465.50649854807,252.612985005506,954.325387944775,1416.10189471212,227.198486695187,1254.210252486740
1997-01-01,1064.778028599080,2081.841669396200,6480.55649455855,3614.608485439940,1800.25913137613,3331.15151093297,8770.84481553539,8058.94228801535,4265.69351856460,15682.27179051890,26631.79370713840,32835.25185060820,4527.04992403877,252.311666681832,970.995739362631,1420.23877961207,247.184945629196,1226.195421133370
1998-01-01,1110.112677324800,1780.200495448920,5857.96702940857,3295.360183812940,1746.52590513282,3258.29746206218,9161.89527783381,8287.45061096547,4213.82800470051,14800.50915736410,24856.76480704170,31043.10818007600,4494.85711232358,236.055514521880,992.206317989320,1419.31770917955,266.672705397492,1232.066581066350
1999-01-01,1148.044652108320,1767.514667297560,6070.95621987091,3403.087373568960,1759.42105225652,3250.37802318947,9264.97729259968,8161.45168872186,3967.11339937681,16402.91683410940,25237.65799891290,32557.04699040630,4552.85007973031,240.604711286049,1010.881949163480,1390.46921139078,291.560018665606,1224.634046398860
2000-01-01,1212.196577943810,1828.102659683610,6455.61419792583,3514.716629706080,1793.34761146436,3286.27308475523,9581.96970210753,8465.35303258864,4016.80951748167,17763.13534172970,26933.23774539940,34890.08113651680,4700.87555500704,247.505413659694,1022.275207145660,1421.67987952013,287.390630344484,1195.412968516560
2001-01-01,1273.805269009400,1868.591723072920,6334.92795651698,3599.025248773580,1807.70892524758,3261.66425051360,9398.35074355724,8632.01482440560,4020.50789754842,18460.42881938290,26885.42848339260,33597.86908082260,4786.48245046300,260.042316081350,1035.226660532570,1465.45720342309,317.185703581034,1202.293487599870
2002-01-01,1340.516704602710,1926.374358681490,6516.90671560155,3783.754220732660,1837.25429286854,3398.74991419297,9242.27886130016,8810.69052712257,4058.28493578738,19775.38006551390,27210.06934807690,34598.82674837810,4916.81498068625,256.066635883709,1052.465916443990,1644.39518877633,340.135370222590,1171.426251734900
2003-01-01,1418.743374715090,1991.918205064730,6732.92049458099,4018.155381870680,1892.82161995051,3502.79165687646,9221.99666693097,9130.78426218190,4154.17528523618,20278.04064211780,28097.10888181700,36709.79650382550,5011.62223150169,243.076666020009,1077.699908666450,1717.21451111760,356.521157404125,1169.144336740510
2004-01-01,1510.944490495990,2065.706174708420,7025.34558004381,4232.771572619340,1978.34489133113,3640.60299869744,9421.28975988024,9642.37478651228,4311.91591255233,21244.81368005280,30304.31268631520,39856.63562226130,5187.35683424034,267.923513391712,1108.304753536330,1824.80269456773,377.064958084878,1191.254436045560
2005-01-01,1609.962683136510,2155.447801592100,7234.02442689141,4372.257302062610,2037.87766059460,3835.13219279722,9491.51730225718,10104.42083913730,4457.27537460443,22123.76130668510,32401.39076596850,41798.48808346710,5406.07581377638,290.833381425059,1143.311789343010,1889.25175325818,391.699758163976,1223.447384720190
2006-01-01,1699.676203433930,2244.080222620200,7469.81069212110,4551.525001831400,2110.42044781284,4091.36268615581,9813.82804244250,10611.61440128770,4694.03442939175,23162.18601112970,34458.04987467560,44159.41018205520,5650.98831765490,313.013896721503,1185.265707385950,1949.15856804565,420.526462764726,1263.541646662110
2007-01-01,1788.948502895700,2355.152856532800,7769.59693350488,4760.667084648310,2209.34651083329,4407.79121686416,9877.69532644737,11051.34507176780,4947.25260813108,24391.76510134480,36371.68593702680,46178.81394701990,5891.42069421698,338.799064654308,1205.317058042090,2020.83316299454,442.049574057751,1309.910929482160
2008-01-01,1856.005198839790,2464.601934182720,7976.11785374773,4805.763939908360,2264.94629072880,4778.52642172313,9826.34218360480,11356.09221059830,5048.57187245249,24934.53963676910,36924.08838545560,44601.57993026990,6009.71963138635,364.642208155735,1282.634168867470,2098.28339220668,460.947294856790,1273.772261030730
2009-01-01,1927.134270574540,2546.219697077670,7700.46111294033,4737.456797633140,2256.72554835463,4801.17153740507,9074.11881455640,11116.40934431030,5046.97121757727,25009.91483119990,35938.59023694310,43331.87466389620,5847.05811084505,385.632419711374,1311.630537601250,2204.60725603730,475.788178051193,1276.735034860740
2010-01-01,2027.581843759240,2670.812909895300,8118.92270511981,5059.357478316570,2373.14312064664,5167.39259325937,9389.06722084275,11649.28970908560,5214.24547620131,26623.04871229270,38090.02139943290,48752.05154418590,5953.94506512821,421.898622378633,1381.227950350600,2315.46676509663,494.162859074785,1340.164674088560
2011-01-01,2132.904537620870,2799.624687903180,8400.32248683558,5070.237401919420,2416.75212064542,5453.45718713631,9575.93437788582,12252.84410746150,5517.10110868990,27393.45535727200,39656.33928850620,50713.53263935940,6067.12482726885,455.909628648555,1537.818340192830,2370.97657091803,514.869957191994,1370.580008744820
2012-01-01,2224.114042532560,2930.518445323000,8710.52671359902,5403.878460362730,2533.74141964959,5740.04346272472,9782.51776305354,12882.83441792700,5675.75617978305,27944.05641900450,39887.83394565090,51679.35271733300,6121.55783860713,481.639999909808,1640.540720880030,2403.65387896924,540.294517780300,1396.301787097560
2013-01-01,2320.084314449340,3055.242460064690,8964.80724896203,5516.611641641350,2654.41506933978,6021.46142765232,9738.71059803658,13182.73296198560,5910.80592301166,28732.71115203300,40959.98130339960,53298.97285582860,6170.87670863373,518.324662208106,1718.597047699580,2495.34106573749,559.393953685688,1413.941425225830
